spec,scheme,dropped,n,b_growth,t_growth,r2,implied_fy27_growth_at_170_pct,implied_ntm_growth_at_170_pct
levels: growth + margin,leave one month out,2025-09-30,44,0.4588,2.25,0.23,11.92,13.34
levels: growth + margin,leave one month out,2025-10-31,44,0.4643,2.25,0.232,11.97,13.39
levels: growth + margin,leave one month out,2025-11-30,44,0.442,2.16,0.223,11.81,13.23
levels: growth + margin,leave one month out,2025-12-31,44,0.4703,2.23,0.234,12.02,13.44
levels: growth + margin,leave one month out,2026-01-31,44,0.4607,2.2,0.23,11.95,13.37
levels: growth + margin,leave one month out,2026-02-28,44,0.4919,2.42,0.268,11.92,13.35
levels: growth + margin,leave one month out,2026-03-31,44,0.4955,2.45,0.278,11.89,13.32
levels: growth + margin,leave one month out,2026-04-30,44,0.4899,2.4,0.263,11.94,13.37
levels: growth + margin,leave one month out,2026-05-31,44,0.4978,2.46,0.284,11.87,13.29
levels: growth + margin,leave one month out,2026-06-30,44,0.4937,2.43,0.272,11.91,13.33
levels: growth + margin,leave one month out,2026-07-31,44,0.4901,2.39,0.263,11.94,13.36
levels: growth + margin,leave one month out,2026-08-31,44,0.4834,2.32,0.247,12.03,13.46
levels: growth + margin,leave one month out,2026-09-04,44,0.4841,2.33,0.248,12.03,13.45
levels: growth + margin,leave one reported-quarter block out,3Q22,44,0.5206,2.3,0.252,12.08,13.5
levels: growth + margin,leave one reported-quarter block out,4Q22,42,0.3947,1.45,0.153,12.09,13.51
levels: growth + margin,leave one reported-quarter block out,1Q23,42,0.6444,3.88,0.366,13.58,15.0
levels: growth + margin,leave one reported-quarter block out,2Q23,42,0.4911,2.67,0.224,12.57,13.99
levels: growth + margin,leave one reported-quarter block out,3Q23,42,0.461,2.42,0.239,12.16,13.58
levels: growth + margin,leave one reported-quarter block out,4Q23,42,0.3123,1.68,0.254,11.55,12.97
levels: growth + margin,leave one reported-quarter block out,1Q24,42,0.4333,1.96,0.265,11.98,13.41
levels: growth + margin,leave one reported-quarter block out,2Q24,42,0.4817,2.31,0.237,12.04,13.46
levels: growth + margin,leave one reported-quarter block out,3Q24,42,0.4788,2.3,0.236,12.05,13.47
levels: growth + margin,leave one reported-quarter block out,4Q24,42,0.5612,2.34,0.245,12.48,13.91
levels: growth + margin,leave one reported-quarter block out,1Q25,42,0.4622,2.25,0.226,11.93,13.36
levels: growth + margin,leave one reported-quarter block out,2Q25,42,0.434,2.18,0.206,11.71,13.13
levels: growth + margin,leave one reported-quarter block out,3Q25,42,0.4104,1.95,0.197,11.54,12.97
levels: growth + margin,leave one reported-quarter block out,4Q25,42,0.5268,2.74,0.334,11.63,13.05
levels: growth + margin,leave one reported-quarter block out,1Q26,42,0.5325,2.74,0.348,11.58,13.0
levels: growth + margin,leave one reported-quarter block out,2Q26,43,0.4913,2.36,0.251,12.19,13.61
