lens,kind,multiple_x,margin_pct,price_usd,label,ev_musd,implied_fy27_revenue_musd,implied_fy27_growth_pct,implied_fy27_ebitda_musd,implied_fy27_eps_usd,implied_fy27_fcf_musd,implied_fy27_nights_growth_adr3_fxm06_pct
"EV/FY27 FCF 17x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,17.0,36.199999999999996,165.0,p25 sell-side target,88912.0,14108.0,-0.86,5107.0,5.11,5230.0,-3.17
"EV/FY27 FCF 17x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,17.0,36.199999999999996,170.19,"price, close 11 Sep 2026",92010.0,14600.0,2.59,5285.0,5.36,5412.0,0.2
"EV/FY27 FCF 17x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,17.0,36.199999999999996,179.5,mean sell-side target,97568.0,15482.0,8.79,5604.0,5.8,5739.0,6.26
"EV/FY27 FCF 17x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,17.0,36.199999999999996,185.0,median yfinance target,100852.0,16003.0,12.45,5793.0,6.07,5932.0,9.83
"EV/FY27 FCF 17x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,17.0,36.199999999999996,197.5,p75 sell-side target,108314.0,17187.0,20.77,6222.0,6.66,6371.0,17.96
"EV/FY27 FCF 17x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,17.0,36.199999999999996,220.0,top sell-side target,121747.0,19318.0,35.75,6993.0,7.74,7162.0,32.59
"EV/FY27 FCF 20x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,20.0,36.199999999999996,150.0,bear tape,79957.0,10784.0,-24.22,3904.0,3.43,3998.0,-25.98
"EV/FY27 FCF 20x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,20.0,36.199999999999996,165.0,p25 sell-side target,88912.0,11992.0,-15.73,4341.0,4.04,4446.0,-17.7
"EV/FY27 FCF 20x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,20.0,36.199999999999996,170.19,"price, close 11 Sep 2026",92010.0,12410.0,-12.8,4492.0,4.25,4601.0,-14.83
"EV/FY27 FCF 20x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,20.0,36.199999999999996,179.5,mean sell-side target,97568.0,13160.0,-7.53,4764.0,4.63,4878.0,-9.68
"EV/FY27 FCF 20x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,20.0,36.199999999999996,185.0,median yfinance target,100852.0,13602.0,-4.42,4924.0,4.85,5043.0,-6.64
"EV/FY27 FCF 20x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,20.0,36.199999999999996,197.5,p75 sell-side target,108314.0,14609.0,2.65,5288.0,5.36,5416.0,0.27
"EV/FY27 FCF 20x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,20.0,36.199999999999996,220.0,top sell-side target,121747.0,16421.0,15.38,5944.0,6.28,6087.0,12.7
"EV/FY27 EBITDA 16.5x, end-FY27 convention (570.7m sh, $10.6bn net cash, management note)",ev_ebitda_fy27conv,16.5,36.199999999999996,150.0,bear tape,74991.0,12555.0,-11.78,4545.0,4.32,4654.0,-13.83
"EV/FY27 EBITDA 16.5x, end-FY27 convention (570.7m sh, $10.6bn net cash, management note)",ev_ebitda_fy27conv,16.5,36.199999999999996,165.0,p25 sell-side target,83551.0,13988.0,-1.71,5064.0,5.05,5186.0,-4.0
"EV/FY27 EBITDA 16.5x, end-FY27 convention (570.7m sh, $10.6bn net cash, management note)",ev_ebitda_fy27conv,16.5,36.199999999999996,170.19,"price, close 11 Sep 2026",86512.0,14484.0,1.78,5243.0,5.3,5369.0,-0.59
"EV/FY27 EBITDA 16.5x, end-FY27 convention (570.7m sh, $10.6bn net cash, management note)",ev_ebitda_fy27conv,16.5,36.199999999999996,179.5,mean sell-side target,91825.0,15373.0,8.03,5565.0,5.75,5699.0,5.51
"EV/FY27 EBITDA 16.5x, end-FY27 convention (570.7m sh, $10.6bn net cash, management note)",ev_ebitda_fy27conv,16.5,36.199999999999996,185.0,median yfinance target,94964.0,15899.0,11.72,5755.0,6.01,5894.0,9.12
"EV/FY27 EBITDA 16.5x, end-FY27 convention (570.7m sh, $10.6bn net cash, management note)",ev_ebitda_fy27conv,16.5,36.199999999999996,197.5,p75 sell-side target,102097.0,17093.0,20.11,6188.0,6.62,6337.0,17.31
"EV/FY27 EBITDA 16.5x, end-FY27 convention (570.7m sh, $10.6bn net cash, management note)",ev_ebitda_fy27conv,16.5,36.199999999999996,220.0,top sell-side target,114937.0,19243.0,35.21,6966.0,7.7,7134.0,32.07
