quarter,fee_share,adr_basis,backlog_scale_B,adr_ratio_r,b_path,dK_m_nights,dK_lag4_m_nights,b_pp,b_unpaid_pp,b_paid_pp,dK_over_N_lag4_pp,k_over_n_quarters,stays_implied_m
1Q22,0.151,kernelw,1.05,1.0,ramp,31.543,20.989,16.388,0.0,16.388,48.98,0.6944,70.56
1Q22,0.151,kernelw,1.05,1.0,step,31.543,20.989,16.388,0.0,16.388,48.98,0.6944,70.56
1Q22,0.151,kernelw,1.05,1.33,ramp,31.543,20.989,16.388,0.0,16.388,48.98,0.6944,70.56
1Q22,0.151,kernelw,1.05,1.33,step,31.543,20.989,16.388,0.0,16.388,48.98,0.6944,70.56
1Q22,0.151,kernelw,1.1,1.0,ramp,31.543,20.989,16.388,0.0,16.388,48.98,0.6944,70.56
1Q22,0.151,kernelw,1.1,1.0,step,31.543,20.989,16.388,0.0,16.388,48.98,0.6944,70.56
1Q22,0.151,kernelw,1.1,1.33,ramp,31.543,20.989,16.388,0.0,16.388,48.98,0.6944,70.56
1Q22,0.151,kernelw,1.1,1.33,step,31.543,20.989,16.388,0.0,16.388,48.98,0.6944,70.56
1Q22,0.155,current,1.0,1.0,ramp,29.12,17.564,17.944,0.0,17.944,45.217,0.6571,72.98
1Q22,0.155,current,1.0,1.0,step,29.12,17.564,17.944,0.0,17.944,45.217,0.6571,72.98
1Q22,0.155,current,1.0,1.33,ramp,29.12,17.564,17.944,0.0,17.944,45.217,0.6571,72.98
1Q22,0.155,current,1.0,1.33,step,29.12,17.564,17.944,0.0,17.944,45.217,0.6571,72.98
1Q22,0.155,current,1.05,1.0,ramp,29.12,17.564,17.944,0.0,17.944,45.217,0.6571,72.98
1Q22,0.155,current,1.05,1.0,step,29.12,17.564,17.944,0.0,17.944,45.217,0.6571,72.98
1Q22,0.155,current,1.05,1.33,ramp,29.12,17.564,17.944,0.0,17.944,45.217,0.6571,72.98
1Q22,0.155,current,1.05,1.33,step,29.12,17.564,17.944,0.0,17.944,45.217,0.6571,72.98
1Q22,0.155,current,1.1,1.0,ramp,29.12,17.564,17.944,0.0,17.944,45.217,0.6571,72.98
1Q22,0.155,current,1.1,1.0,step,29.12,17.564,17.944,0.0,17.944,45.217,0.6571,72.98
1Q22,0.155,current,1.1,1.33,ramp,29.12,17.564,17.944,0.0,17.944,45.217,0.6571,72.98
1Q22,0.155,current,1.1,1.33,step,29.12,17.564,17.944,0.0,17.944,45.217,0.6571,72.98
1Q22,0.155,forward,1.0,1.0,ramp,34.161,21.345,19.901,0.0,19.901,53.045,0.6745,67.94
1Q22,0.155,forward,1.0,1.0,step,34.161,21.345,19.901,0.0,19.901,53.045,0.6745,67.94
1Q22,0.155,forward,1.0,1.33,ramp,34.161,21.345,19.901,0.0,19.901,53.045,0.6745,67.94
1Q22,0.155,forward,1.0,1.33,step,34.161,21.345,19.901,0.0,19.901,53.045,0.6745,67.94
1Q22,0.155,forward,1.05,1.0,ramp,34.161,21.345,19.901,0.0,19.901,53.045,0.6745,67.94
1Q22,0.155,forward,1.05,1.0,step,34.161,21.345,19.901,0.0,19.901,53.045,0.6745,67.94
1Q22,0.155,forward,1.05,1.33,ramp,34.161,21.345,19.901,0.0,19.901,53.045,0.6745,67.94
1Q22,0.155,forward,1.05,1.33,step,34.161,21.345,19.901,0.0,19.901,53.045,0.6745,67.94
1Q22,0.155,forward,1.1,1.0,ramp,34.161,21.345,19.901,0.0,19.901,53.045,0.6745,67.94
1Q22,0.155,forward,1.1,1.0,step,34.161,21.345,19.901,0.0,19.901,53.045,0.6745,67.94
1Q22,0.155,forward,1.1,1.33,ramp,34.161,21.345,19.901,0.0,19.901,53.045,0.6745,67.94
1Q22,0.155,forward,1.1,1.33,step,34.161,21.345,19.901,0.0,19.901,53.045,0.6745,67.94
1Q22,0.155,kernelw,1.0,1.0,ramp,30.73,20.447,15.967,0.0,15.967,47.717,0.6765,71.37
1Q22,0.155,kernelw,1.0,1.0,step,30.73,20.447,15.967,0.0,15.967,47.717,0.6765,71.37
1Q22,0.155,kernelw,1.0,1.33,ramp,30.73,20.447,15.967,0.0,15.967,47.717,0.6765,71.37
1Q22,0.155,kernelw,1.0,1.33,step,30.73,20.447,15.967,0.0,15.967,47.717,0.6765,71.37
1Q22,0.155,kernelw,1.05,1.0,ramp,30.73,20.447,15.967,0.0,15.967,47.717,0.6765,71.37
1Q22,0.155,kernelw,1.05,1.0,step,30.73,20.447,15.967,0.0,15.967,47.717,0.6765,71.37
1Q22,0.155,kernelw,1.05,1.33,ramp,30.73,20.447,15.967,0.0,15.967,47.717,0.6765,71.37
1Q22,0.155,kernelw,1.05,1.33,step,30.73,20.447,15.967,0.0,15.967,47.717,0.6765,71.37
1Q22,0.155,kernelw,1.1,1.0,ramp,30.73,20.447,15.967,0.0,15.967,47.717,0.6765,71.37
1Q22,0.155,kernelw,1.1,1.0,step,30.73,20.447,15.967,0.0,15.967,47.717,0.6765,71.37
1Q22,0.155,kernelw,1.1,1.33,ramp,30.73,20.447,15.967,0.0,15.967,47.717,0.6765,71.37
1Q22,0.155,kernelw,1.1,1.33,step,30.73,20.447,15.967,0.0,15.967,47.717,0.6765,71.37
2Q22,0.124,current,1.0,1.0,ramp,13.703,26.377,-15.252,0.0,-15.252,16.49,0.9408,90.0
2Q22,0.124,current,1.0,1.0,step,13.703,26.377,-15.252,0.0,-15.252,16.49,0.9408,90.0
2Q22,0.124,current,1.0,1.33,ramp,13.703,26.377,-15.252,0.0,-15.252,16.49,0.9408,90.0
2Q22,0.124,current,1.0,1.33,step,13.703,26.377,-15.252,0.0,-15.252,16.49,0.9408,90.0
2Q22,0.124,current,1.05,1.0,ramp,13.703,26.377,-15.252,0.0,-15.252,16.49,0.9408,90.0
2Q22,0.124,current,1.05,1.0,step,13.703,26.377,-15.252,0.0,-15.252,16.49,0.9408,90.0
2Q22,0.124,current,1.05,1.33,ramp,13.703,26.377,-15.252,0.0,-15.252,16.49,0.9408,90.0
2Q22,0.124,current,1.05,1.33,step,13.703,26.377,-15.252,0.0,-15.252,16.49,0.9408,90.0
2Q22,0.124,current,1.1,1.0,ramp,13.703,26.377,-15.252,0.0,-15.252,16.49,0.9408,90.0
2Q22,0.124,current,1.1,1.0,step,13.703,26.377,-15.252,0.0,-15.252,16.49,0.9408,90.0
2Q22,0.124,current,1.1,1.33,ramp,13.703,26.377,-15.252,0.0,-15.252,16.49,0.9408,90.0
2Q22,0.124,current,1.1,1.33,step,13.703,26.377,-15.252,0.0,-15.252,16.49,0.9408,90.0
2Q22,0.124,forward,1.0,1.0,ramp,16.038,32.971,-20.377,0.0,-20.377,19.3,0.9847,87.66
2Q22,0.124,forward,1.0,1.0,step,16.038,32.971,-20.377,0.0,-20.377,19.3,0.9847,87.66
2Q22,0.124,forward,1.0,1.33,ramp,16.038,32.971,-20.377,0.0,-20.377,19.3,0.9847,87.66
2Q22,0.124,forward,1.0,1.33,step,16.038,32.971,-20.377,0.0,-20.377,19.3,0.9847,87.66
2Q22,0.124,forward,1.05,1.0,ramp,16.038,32.971,-20.377,0.0,-20.377,19.3,0.9847,87.66
2Q22,0.124,forward,1.05,1.0,step,16.038,32.971,-20.377,0.0,-20.377,19.3,0.9847,87.66
2Q22,0.124,forward,1.05,1.33,ramp,16.038,32.971,-20.377,0.0,-20.377,19.3,0.9847,87.66
2Q22,0.124,forward,1.05,1.33,step,16.038,32.971,-20.377,0.0,-20.377,19.3,0.9847,87.66
2Q22,0.124,forward,1.1,1.0,ramp,16.038,32.971,-20.377,0.0,-20.377,19.3,0.9847,87.66
2Q22,0.124,forward,1.1,1.0,step,16.038,32.971,-20.377,0.0,-20.377,19.3,0.9847,87.66
2Q22,0.124,forward,1.1,1.33,ramp,16.038,32.971,-20.377,0.0,-20.377,19.3,0.9847,87.66
2Q22,0.124,forward,1.1,1.33,step,16.038,32.971,-20.377,0.0,-20.377,19.3,0.9847,87.66
2Q22,0.124,kernelw,1.0,1.0,ramp,10.375,23.181,-15.41,0.0,-15.41,12.485,0.9326,93.33
2Q22,0.124,kernelw,1.0,1.0,step,10.375,23.181,-15.41,0.0,-15.41,12.485,0.9326,93.33
2Q22,0.124,kernelw,1.0,1.33,ramp,10.375,23.181,-15.41,0.0,-15.41,12.485,0.9326,93.33
2Q22,0.124,kernelw,1.0,1.33,step,10.375,23.181,-15.41,0.0,-15.41,12.485,0.9326,93.33
2Q22,0.124,kernelw,1.05,1.0,ramp,10.375,23.181,-15.41,0.0,-15.41,12.485,0.9326,93.33
2Q22,0.124,kernelw,1.05,1.0,step,10.375,23.181,-15.41,0.0,-15.41,12.485,0.9326,93.33
2Q22,0.124,kernelw,1.05,1.33,ramp,10.375,23.181,-15.41,0.0,-15.41,12.485,0.9326,93.33
2Q22,0.124,kernelw,1.05,1.33,step,10.375,23.181,-15.41,0.0,-15.41,12.485,0.9326,93.33
2Q22,0.124,kernelw,1.1,1.0,ramp,10.375,23.181,-15.41,0.0,-15.41,12.485,0.9326,93.33
2Q22,0.124,kernelw,1.1,1.0,step,10.375,23.181,-15.41,0.0,-15.41,12.485,0.9326,93.33
2Q22,0.124,kernelw,1.1,1.33,ramp,10.375,23.181,-15.41,0.0,-15.41,12.485,0.9326,93.33
2Q22,0.124,kernelw,1.1,1.33,step,10.375,23.181,-15.41,0.0,-15.41,12.485,0.9326,93.33
2Q22,0.133,current,1.0,1.0,ramp,12.776,24.592,-14.219,0.0,-14.219,15.374,0.8772,90.92
2Q22,0.133,current,1.0,1.0,step,12.776,24.592,-14.219,0.0,-14.219,15.374,0.8772,90.92
2Q22,0.133,current,1.0,1.33,ramp,12.776,24.592,-14.219,0.0,-14.219,15.374,0.8772,90.92
2Q22,0.133,current,1.0,1.33,step,12.776,24.592,-14.219,0.0,-14.219,15.374,0.8772,90.92
2Q22,0.133,current,1.05,1.0,ramp,12.776,24.592,-14.219,0.0,-14.219,15.374,0.8772,90.92
2Q22,0.133,current,1.05,1.0,step,12.776,24.592,-14.219,0.0,-14.219,15.374,0.8772,90.92
2Q22,0.133,current,1.05,1.33,ramp,12.776,24.592,-14.219,0.0,-14.219,15.374,0.8772,90.92
2Q22,0.133,current,1.05,1.33,step,12.776,24.592,-14.219,0.0,-14.219,15.374,0.8772,90.92
2Q22,0.133,current,1.1,1.0,ramp,12.776,24.592,-14.219,0.0,-14.219,15.374,0.8772,90.92
2Q22,0.133,current,1.1,1.0,step,12.776,24.592,-14.219,0.0,-14.219,15.374,0.8772,90.92
2Q22,0.133,current,1.1,1.33,ramp,12.776,24.592,-14.219,0.0,-14.219,15.374,0.8772,90.92
2Q22,0.133,current,1.1,1.33,step,12.776,24.592,-14.219,0.0,-14.219,15.374,0.8772,90.92
2Q22,0.133,forward,1.0,1.0,ramp,14.953,30.74,-18.998,0.0,-18.998,17.994,0.9181,88.75
2Q22,0.133,forward,1.0,1.0,step,14.953,30.74,-18.998,0.0,-18.998,17.994,0.9181,88.75
2Q22,0.133,forward,1.0,1.33,ramp,14.953,30.74,-18.998,0.0,-18.998,17.994,0.9181,88.75
2Q22,0.133,forward,1.0,1.33,step,14.953,30.74,-18.998,0.0,-18.998,17.994,0.9181,88.75
2Q22,0.133,forward,1.05,1.0,ramp,14.953,30.74,-18.998,0.0,-18.998,17.994,0.9181,88.75
2Q22,0.133,forward,1.05,1.0,step,14.953,30.74,-18.998,0.0,-18.998,17.994,0.9181,88.75
2Q22,0.133,forward,1.05,1.33,ramp,14.953,30.74,-18.998,0.0,-18.998,17.994,0.9181,88.75
2Q22,0.133,forward,1.05,1.33,step,14.953,30.74,-18.998,0.0,-18.998,17.994,0.9181,88.75
2Q22,0.133,forward,1.1,1.0,ramp,14.953,30.74,-18.998,0.0,-18.998,17.994,0.9181,88.75
2Q22,0.133,forward,1.1,1.0,step,14.953,30.74,-18.998,0.0,-18.998,17.994,0.9181,88.75
2Q22,0.133,forward,1.1,1.33,ramp,14.953,30.74,-18.998,0.0,-18.998,17.994,0.9181,88.75
2Q22,0.133,forward,1.1,1.33,step,14.953,30.74,-18.998,0.0,-18.998,17.994,0.9181,88.75
2Q22,0.133,kernelw,1.0,1.0,ramp,9.672,21.612,-14.368,0.0,-14.368,11.639,0.8695,94.03
2Q22,0.133,kernelw,1.0,1.0,step,9.672,21.612,-14.368,0.0,-14.368,11.639,0.8695,94.03
2Q22,0.133,kernelw,1.0,1.33,ramp,9.672,21.612,-14.368,0.0,-14.368,11.639,0.8695,94.03
2Q22,0.133,kernelw,1.0,1.33,step,9.672,21.612,-14.368,0.0,-14.368,11.639,0.8695,94.03
2Q22,0.133,kernelw,1.05,1.0,ramp,9.672,21.612,-14.368,0.0,-14.368,11.639,0.8695,94.03
2Q22,0.133,kernelw,1.05,1.0,step,9.672,21.612,-14.368,0.0,-14.368,11.639,0.8695,94.03
2Q22,0.133,kernelw,1.05,1.33,ramp,9.672,21.612,-14.368,0.0,-14.368,11.639,0.8695,94.03
2Q22,0.133,kernelw,1.05,1.33,step,9.672,21.612,-14.368,0.0,-14.368,11.639,0.8695,94.03
2Q22,0.133,kernelw,1.1,1.0,ramp,9.672,21.612,-14.368,0.0,-14.368,11.639,0.8695,94.03
2Q22,0.133,kernelw,1.1,1.0,step,9.672,21.612,-14.368,0.0,-14.368,11.639,0.8695,94.03
2Q22,0.133,kernelw,1.1,1.33,ramp,9.672,21.612,-14.368,0.0,-14.368,11.639,0.8695,94.03
2Q22,0.133,kernelw,1.1,1.33,step,9.672,21.612,-14.368,0.0,-14.368,11.639,0.8695,94.03
2Q22,0.151,current,1.0,1.0,ramp,11.253,21.66,-12.523,0.0,-12.523,13.542,0.7726,92.45
2Q22,0.151,current,1.0,1.0,step,11.253,21.66,-12.523,0.0,-12.523,13.542,0.7726,92.45
2Q22,0.151,current,1.0,1.33,ramp,11.253,21.66,-12.523,0.0,-12.523,13.542,0.7726,92.45
2Q22,0.151,current,1.0,1.33,step,11.253,21.66,-12.523,0.0,-12.523,13.542,0.7726,92.45
2Q22,0.151,current,1.05,1.0,ramp,11.253,21.66,-12.523,0.0,-12.523,13.542,0.7726,92.45
2Q22,0.151,current,1.05,1.0,step,11.253,21.66,-12.523,0.0,-12.523,13.542,0.7726,92.45
2Q22,0.151,current,1.05,1.33,ramp,11.253,21.66,-12.523,0.0,-12.523,13.542,0.7726,92.45
2Q22,0.151,current,1.05,1.33,step,11.253,21.66,-12.523,0.0,-12.523,13.542,0.7726,92.45
2Q22,0.151,current,1.1,1.0,ramp,11.253,21.66,-12.523,0.0,-12.523,13.542,0.7726,92.45
2Q22,0.151,current,1.1,1.0,step,11.253,21.66,-12.523,0.0,-12.523,13.542,0.7726,92.45
2Q22,0.151,current,1.1,1.33,ramp,11.253,21.66,-12.523,0.0,-12.523,13.542,0.7726,92.45
2Q22,0.151,current,1.1,1.33,step,11.253,21.66,-12.523,0.0,-12.523,13.542,0.7726,92.45
2Q22,0.151,forward,1.0,1.0,ramp,13.171,27.076,-16.733,0.0,-16.733,15.85,0.8086,90.53
2Q22,0.151,forward,1.0,1.0,step,13.171,27.076,-16.733,0.0,-16.733,15.85,0.8086,90.53
2Q22,0.151,forward,1.0,1.33,ramp,13.171,27.076,-16.733,0.0,-16.733,15.85,0.8086,90.53
2Q22,0.151,forward,1.0,1.33,step,13.171,27.076,-16.733,0.0,-16.733,15.85,0.8086,90.53
2Q22,0.151,forward,1.05,1.0,ramp,13.171,27.076,-16.733,0.0,-16.733,15.85,0.8086,90.53
2Q22,0.151,forward,1.05,1.0,step,13.171,27.076,-16.733,0.0,-16.733,15.85,0.8086,90.53
2Q22,0.151,forward,1.05,1.33,ramp,13.171,27.076,-16.733,0.0,-16.733,15.85,0.8086,90.53
2Q22,0.151,forward,1.05,1.33,step,13.171,27.076,-16.733,0.0,-16.733,15.85,0.8086,90.53
2Q22,0.151,forward,1.1,1.0,ramp,13.171,27.076,-16.733,0.0,-16.733,15.85,0.8086,90.53
2Q22,0.151,forward,1.1,1.0,step,13.171,27.076,-16.733,0.0,-16.733,15.85,0.8086,90.53
2Q22,0.151,forward,1.1,1.33,ramp,13.171,27.076,-16.733,0.0,-16.733,15.85,0.8086,90.53
2Q22,0.151,forward,1.1,1.33,step,13.171,27.076,-16.733,0.0,-16.733,15.85,0.8086,90.53
2Q22,0.151,kernelw,1.0,1.0,ramp,8.52,19.037,-12.656,0.0,-12.656,10.253,0.7658,95.18
