quarter,fee_share,adr_basis,unearned_fees_musd,adr_eff_usd,backlog_gbv_musd,k_uf_m_nights,k_uf_over_nights_q,implied_mean_lead_months,is_central
3Q21,0.133,current,892.4,149.15,6709.8,44.987,0.5645,1.69,1
3Q21,0.133,forward,892.4,153.61,6709.8,43.681,0.5481,1.64,0
3Q21,0.133,kernelw,892.4,153.25,6709.8,43.783,0.5493,1.65,0
3Q21,0.151,current,892.4,149.15,5909.9,39.624,0.4972,1.49,0
3Q21,0.151,forward,892.4,153.61,5909.9,38.474,0.4827,1.45,0
3Q21,0.151,kernelw,892.4,153.25,5909.9,38.564,0.4839,1.45,0
3Q21,0.155,current,892.4,149.15,5757.4,38.602,0.4843,1.45,0
3Q21,0.155,forward,892.4,153.61,5757.4,37.481,0.4703,1.41,0
3Q21,0.155,kernelw,892.4,153.25,5757.4,37.569,0.4714,1.41,0
4Q21,0.124,current,904.0,153.61,7290.3,47.46,0.6466,1.94,0
4Q21,0.124,forward,904.0,168.07,7290.3,43.377,0.591,1.77,0
4Q21,0.124,kernelw,904.0,152.12,7290.3,47.924,0.6529,1.96,0
4Q21,0.133,current,904.0,153.61,6797.0,44.248,0.6028,1.81,1
4Q21,0.133,forward,904.0,168.07,6797.0,40.441,0.551,1.65,0
4Q21,0.133,kernelw,904.0,152.12,6797.0,44.681,0.6087,1.83,0
4Q21,0.151,current,904.0,153.61,5986.8,38.974,0.531,1.59,0
4Q21,0.151,forward,904.0,168.07,5986.8,35.621,0.4853,1.46,0
4Q21,0.151,kernelw,904.0,152.12,5986.8,39.355,0.5362,1.61,0
4Q21,0.155,current,904.0,153.61,5832.3,37.968,0.5173,1.55,0
4Q21,0.155,forward,904.0,168.07,5832.3,34.701,0.4728,1.42,0
4Q21,0.155,kernelw,904.0,152.12,5832.3,38.339,0.5223,1.57,0
1Q22,0.124,current,1747.7,168.07,14094.4,83.86,0.8214,2.46,0
1Q22,0.124,forward,1747.7,163.74,14094.4,86.078,0.8431,2.53,0
1Q22,0.124,kernelw,1747.7,163.25,14094.4,86.336,0.8456,2.54,0
1Q22,0.133,current,1747.7,168.07,13140.6,78.185,0.7658,2.3,1
1Q22,0.133,forward,1747.7,163.74,13140.6,80.253,0.786,2.36,0
1Q22,0.133,kernelw,1747.7,163.25,13140.6,80.494,0.7884,2.37,0
1Q22,0.151,current,1747.7,168.07,11574.2,68.865,0.6745,2.02,0
1Q22,0.151,forward,1747.7,163.74,11574.2,70.686,0.6923,2.08,0
1Q22,0.151,kernelw,1747.7,163.25,11574.2,70.898,0.6944,2.08,0
1Q22,0.155,current,1747.7,168.07,11275.5,67.088,0.6571,1.97,0
1Q22,0.155,forward,1747.7,163.74,11275.5,68.862,0.6745,2.02,0
1Q22,0.155,kernelw,1747.7,163.25,11275.5,69.069,0.6765,2.03,0
2Q22,0.124,current,1980.9,163.74,15975.0,97.563,0.9408,2.82,0
2Q22,0.124,forward,1980.9,156.44,15975.0,102.116,0.9847,2.95,0
2Q22,0.124,kernelw,1980.9,165.18,15975.0,96.711,0.9326,2.8,0
2Q22,0.133,current,1980.9,163.74,14894.0,90.961,0.8772,2.63,1
2Q22,0.133,forward,1980.9,156.44,14894.0,95.206,0.9181,2.75,0
2Q22,0.133,kernelw,1980.9,165.18,14894.0,90.166,0.8695,2.61,0
2Q22,0.151,current,1980.9,163.74,13118.5,80.118,0.7726,2.32,0
2Q22,0.151,forward,1980.9,156.44,13118.5,83.857,0.8086,2.43,0
2Q22,0.151,kernelw,1980.9,165.18,13118.5,79.418,0.7658,2.3,0
2Q22,0.155,current,1980.9,163.74,12780.0,78.051,0.7527,2.26,0
2Q22,0.155,forward,1980.9,156.44,12780.0,81.693,0.7878,2.36,0
2Q22,0.155,kernelw,1980.9,165.18,12780.0,77.369,0.7461,2.24,0
3Q22,0.124,current,1220.3,156.44,9841.1,62.907,0.631,1.89,0
3Q22,0.124,forward,1220.3,152.81,9841.1,64.401,0.6459,1.94,0
3Q22,0.124,kernelw,1220.3,158.87,9841.1,61.943,0.6213,1.86,0
3Q22,0.133,current,1220.3,156.44,9175.2,58.65,0.5883,1.76,1
3Q22,0.133,forward,1220.3,152.81,9175.2,60.043,0.6022,1.81,0
3Q22,0.133,kernelw,1220.3,158.87,9175.2,57.752,0.5793,1.74,0
3Q22,0.151,current,1220.3,156.44,8081.5,51.659,0.5181,1.55,0
3Q22,0.151,forward,1220.3,152.81,8081.5,52.886,0.5304,1.59,0
3Q22,0.151,kernelw,1220.3,158.87,8081.5,50.867,0.5102,1.53,0
3Q22,0.155,current,1220.3,156.44,7872.9,50.325,0.5048,1.51,0
3Q22,0.155,forward,1220.3,152.81,7872.9,51.521,0.5168,1.55,0
3Q22,0.155,kernelw,1220.3,158.87,7872.9,49.555,0.497,1.49,0
4Q22,0.124,current,1182.0,152.81,9532.3,62.38,0.7073,2.12,0
4Q22,0.124,forward,1182.0,168.43,9532.3,56.595,0.6417,1.92,0
4Q22,0.124,kernelw,1182.0,154.02,9532.3,61.89,0.7017,2.11,0
4Q22,0.133,current,1182.0,152.81,8887.2,58.159,0.6594,1.98,1
4Q22,0.133,forward,1182.0,168.43,8887.2,52.765,0.5982,1.79,0
4Q22,0.133,kernelw,1182.0,154.02,8887.2,57.702,0.6542,1.96,0
4Q22,0.151,current,1182.0,152.81,7827.8,51.226,0.5808,1.74,0
4Q22,0.151,forward,1182.0,168.43,7827.8,46.475,0.5269,1.58,0
4Q22,0.151,kernelw,1182.0,154.02,7827.8,50.823,0.5762,1.73,0
4Q22,0.155,current,1182.0,152.81,7625.8,49.904,0.5658,1.7,0
4Q22,0.155,forward,1182.0,168.43,7625.8,45.276,0.5133,1.54,0
4Q22,0.155,kernelw,1182.0,154.02,7625.8,49.512,0.5614,1.68,0
1Q23,0.124,current,2172.0,168.43,17516.1,103.996,0.8588,2.58,0
1Q23,0.124,forward,2172.0,166.01,17516.1,105.512,0.8713,2.61,0
1Q23,0.124,kernelw,2172.0,163.22,17516.1,107.314,0.8862,2.66,0
1Q23,0.133,current,2172.0,168.43,16330.8,96.959,0.8007,2.4,1
1Q23,0.133,forward,2172.0,166.01,16330.8,98.373,0.8123,2.44,0
1Q23,0.133,kernelw,2172.0,163.22,16330.8,100.052,0.8262,2.48,0
1Q23,0.151,current,2172.0,168.43,14384.1,85.401,0.7052,2.12,0
1Q23,0.151,forward,2172.0,166.01,14384.1,86.646,0.7155,2.15,0
1Q23,0.151,kernelw,2172.0,163.22,14384.1,88.125,0.7277,2.18,0
1Q23,0.155,current,2172.0,168.43,14012.9,83.197,0.687,2.06,0
1Q23,0.155,forward,2172.0,166.01,14012.9,84.41,0.697,2.09,0
1Q23,0.155,kernelw,2172.0,163.22,14012.9,85.851,0.7089,2.13,0
2Q23,0.124,current,2347.0,166.01,18927.4,114.014,0.9906,2.97,0
2Q23,0.124,forward,2347.0,161.38,18927.4,117.285,1.019,3.06,0
2Q23,0.124,kernelw,2347.0,166.82,18927.4,113.462,0.9858,2.96,0
2Q23,0.133,current,2347.0,166.01,17646.6,106.299,0.9235,2.77,1
2Q23,0.133,forward,2347.0,161.38,17646.6,109.348,0.95,2.85,0
2Q23,0.133,kernelw,2347.0,166.82,17646.6,105.784,0.9191,2.76,0
2Q23,0.151,current,2347.0,166.01,15543.0,93.627,0.8134,2.44,0
2Q23,0.151,forward,2347.0,161.38,15543.0,96.313,0.8368,2.51,0
2Q23,0.151,kernelw,2347.0,166.82,15543.0,93.174,0.8095,2.43,0
2Q23,0.155,current,2347.0,166.01,15141.9,91.211,0.7924,2.38,0
2Q23,0.155,forward,2347.0,161.38,15141.9,93.828,0.8152,2.45,0
2Q23,0.155,kernelw,2347.0,166.82,15141.9,90.77,0.7886,2.37,0
3Q23,0.124,current,1467.0,161.38,11830.6,73.309,0.6476,1.94,0
3Q23,0.124,forward,1467.0,156.73,11830.6,75.484,0.6668,2.0,0
3Q23,0.124,kernelw,1467.0,162.92,11830.6,72.615,0.6415,1.92,0
3Q23,0.133,current,1467.0,161.38,11030.1,68.348,0.6038,1.81,1
3Q23,0.133,forward,1467.0,156.73,11030.1,70.376,0.6217,1.87,0
3Q23,0.133,kernelw,1467.0,162.92,11030.1,67.701,0.5981,1.79,0
3Q23,0.151,current,1467.0,161.38,9715.2,60.201,0.5318,1.6,0
3Q23,0.151,forward,1467.0,156.73,9715.2,61.987,0.5476,1.64,0
3Q23,0.151,kernelw,1467.0,162.92,9715.2,59.631,0.5268,1.58,0
3Q23,0.155,current,1467.0,161.38,9464.5,58.647,0.5181,1.55,0
3Q23,0.155,forward,1467.0,156.73,9464.5,60.387,0.5335,1.6,0
3Q23,0.155,kernelw,1467.0,162.92,9464.5,58.092,0.5132,1.54,0
4Q23,0.124,current,1427.0,156.73,11508.1,73.426,0.7432,2.23,0
4Q23,0.124,forward,1427.0,172.88,11508.1,66.567,0.6738,2.02,0
4Q23,0.124,kernelw,1427.0,158.28,11508.1,72.707,0.7359,2.21,0
4Q23,0.133,current,1427.0,156.73,10729.3,68.457,0.6929,2.08,1
4Q23,0.133,forward,1427.0,172.88,10729.3,62.062,0.6282,1.88,0
4Q23,0.133,kernelw,1427.0,158.28,10729.3,67.787,0.6861,2.06,0
4Q23,0.151,current,1427.0,156.73,9450.3,60.297,0.6103,1.83,0
4Q23,0.151,forward,1427.0,172.88,9450.3,54.664,0.5533,1.66,0
4Q23,0.151,kernelw,1427.0,158.28,9450.3,59.706,0.6043,1.81,0
4Q23,0.155,current,1427.0,156.73,9206.5,58.741,0.5945,1.78,0
4Q23,0.155,forward,1427.0,172.88,9206.5,53.253,0.539,1.62,0
4Q23,0.155,kernelw,1427.0,158.28,9206.5,58.166,0.5887,1.77,0
1Q24,0.124,current,2434.0,172.88,19629.0,113.541,0.8563,2.57,0
1Q24,0.124,forward,2434.0,169.53,19629.0,115.785,0.8732,2.62,0
1Q24,0.124,kernelw,2434.0,167.5,19629.0,117.191,0.8838,2.65,0
1Q24,0.133,current,2434.0,172.88,18300.8,105.858,0.7983,2.39,1
1Q24,0.133,forward,2434.0,169.53,18300.8,107.95,0.8141,2.44,0
1Q24,0.133,kernelw,2434.0,167.5,18300.8,109.26,0.824,2.47,0
1Q24,0.151,current,2434.0,172.88,16119.2,93.239,0.7032,2.11,0
1Q24,0.151,forward,2434.0,169.53,16119.2,95.082,0.7171,2.15,0
1Q24,0.151,kernelw,2434.0,167.5,16119.2,96.236,0.7258,2.18,0
1Q24,0.155,current,2434.0,172.88,15703.2,90.833,0.685,2.06,0
1Q24,0.155,forward,2434.0,169.53,15703.2,92.628,0.6986,2.1,0
1Q24,0.155,kernelw,2434.0,167.5,15703.2,93.752,0.707,2.12,0
2Q24,0.124,current,2621.0,169.53,21137.1,124.681,0.9966,2.99,0
2Q24,0.124,forward,2621.0,163.64,21137.1,129.168,1.0325,3.1,0
2Q24,0.124,kernelw,2621.0,170.65,21137.1,123.865,0.9901,2.97,0
2Q24,0.133,current,2621.0,169.53,19706.8,116.244,0.9292,2.79,1
2Q24,0.133,forward,2621.0,163.64,19706.8,120.428,0.9627,2.89,0
2Q24,0.133,kernelw,2621.0,170.65,19706.8,115.483,0.9231,2.77,0
2Q24,0.151,current,2621.0,169.53,17357.6,102.387,0.8184,2.46,0
2Q24,0.151,forward,2621.0,163.64,17357.6,106.072,0.8479,2.54,0
2Q24,0.151,kernelw,2621.0,170.65,17357.6,101.717,0.8131,2.44,0
2Q24,0.155,current,2621.0,169.53,16909.7,99.744,0.7973,2.39,0
2Q24,0.155,forward,2621.0,163.64,16909.7,103.335,0.826,2.48,0
2Q24,0.155,kernelw,2621.0,170.65,16909.7,99.092,0.7921,2.38,0
3Q24,0.124,current,1657.0,163.64,13362.9,81.66,0.665,1.99,0
3Q24,0.124,forward,1657.0,158.13,13362.9,84.506,0.6882,2.06,0
3Q24,0.124,kernelw,1657.0,165.6,13362.9,80.692,0.6571,1.97,0
3Q24,0.133,current,1657.0,163.64,12458.6,76.134,0.62,1.86,1
3Q24,0.133,forward,1657.0,158.13,12458.6,78.787,0.6416,1.92,0
3Q24,0.133,kernelw,1657.0,165.6,12458.6,75.232,0.6126,1.84,0
3Q24,0.151,current,1657.0,163.64,10973.5,67.059,0.5461,1.64,0
3Q24,0.151,forward,1657.0,158.13,10973.5,69.395,0.5651,1.7,0
3Q24,0.151,kernelw,1657.0,165.6,10973.5,66.264,0.5396,1.62,0
3Q24,0.155,current,1657.0,163.64,10690.3,65.328,0.532,1.6,0
3Q24,0.155,forward,1657.0,158.13,10690.3,67.605,0.5505,1.65,0
3Q24,0.155,kernelw,1657.0,165.6,10690.3,64.554,0.5257,1.58,0
4Q24,0.124,current,1616.0,158.13,13032.3,82.415,0.7425,2.23,0
4Q24,0.124,forward,1616.0,171.34,13032.3,76.061,0.6852,2.06,0
4Q24,0.124,kernelw,1616.0,159.97,13032.3,81.469,0.734,2.2,0
4Q24,0.133,current,1616.0,158.13,12150.4,76.838,0.6922,2.08,1
4Q24,0.133,forward,1616.0,171.34,12150.4,70.914,0.6389,1.92,0
4Q24,0.133,kernelw,1616.0,159.97,12150.4,75.956,0.6843,2.05,0
4Q24,0.151,current,1616.0,158.13,10702.0,67.678,0.6097,1.83,0
4Q24,0.151,forward,1616.0,171.34,10702.0,62.461,0.5627,1.69,0
4Q24,0.151,kernelw,1616.0,159.97,10702.0,66.901,0.6027,1.81,0
4Q24,0.155,current,1616.0,158.13,10425.8,65.932,0.594,1.78,0
4Q24,0.155,forward,1616.0,171.34,10425.8,60.849,0.5482,1.64,0
4Q24,0.155,kernelw,1616.0,159.97,10425.8,65.175,0.5872,1.76,0
1Q25,0.124,current,2723.0,171.34,21959.7,128.164,0.8956,2.69,0
1Q25,0.124,forward,2723.0,174.48,21959.7,125.858,0.8795,2.64,0
1Q25,0.124,kernelw,2723.0,166.94,21959.7,131.545,0.9193,2.76,0
1Q25,0.133,current,2723.0,171.34,20473.7,119.492,0.835,2.51,1
1Q25,0.133,forward,2723.0,174.48,20473.7,117.341,0.82,2.46,0
1Q25,0.133,kernelw,2723.0,166.94,20473.7,122.643,0.857,2.57,0
1Q25,0.151,current,2723.0,171.34,18033.1,105.248,0.7355,2.21,0
1Q25,0.151,forward,2723.0,174.48,18033.1,103.353,0.7222,2.17,0
1Q25,0.151,kernelw,2723.0,166.94,18033.1,108.024,0.7549,2.26,0
1Q25,0.155,current,2723.0,171.34,17567.7,102.531,0.7165,2.15,0
1Q25,0.155,forward,2723.0,174.48,17567.7,100.686,0.7036,2.11,0
1Q25,0.155,kernelw,2723.0,166.94,17567.7,105.236,0.7354,2.21,0
2Q25,0.124,current,2857.0,174.48,23040.3,132.051,0.9825,2.95,0
2Q25,0.124,forward,2857.0,171.29,23040.3,134.511,1.0008,3.0,0
2Q25,0.124,kernelw,2857.0,173.43,23040.3,132.848,0.9885,2.97,0
2Q25,0.133,current,2857.0,174.48,21481.2,123.116,0.916,2.75,1
2Q25,0.133,forward,2857.0,171.29,21481.2,125.408,0.9331,2.8,0
2Q25,0.133,kernelw,2857.0,173.43,21481.2,123.859,0.9216,2.76,0
2Q25,0.151,current,2857.0,174.48,18920.5,108.44,0.8068,2.42,0
2Q25,0.151,forward,2857.0,171.29,18920.5,110.459,0.8219,2.47,0
2Q25,0.151,kernelw,2857.0,173.43,18920.5,109.094,0.8117,2.44,0
2Q25,0.155,current,2857.0,174.48,18432.3,105.641,0.786,2.36,0
2Q25,0.155,forward,2857.0,171.29,18432.3,107.608,0.8007,2.4,0
2Q25,0.155,kernelw,2857.0,173.43,18432.3,106.279,0.7908,2.37,0
3Q25,0.124,current,1820.0,171.29,14677.4,85.688,0.6414,1.92,0
3Q25,0.124,forward,1820.0,167.51,14677.4,87.621,0.6558,1.97,0
3Q25,0.124,kernelw,1820.0,172.35,14677.4,85.159,0.6374,1.91,0
3Q25,0.133,current,1820.0,171.29,13684.2,79.889,0.598,1.79,1
3Q25,0.133,forward,1820.0,167.51,13684.2,81.692,0.6115,1.83,0
3Q25,0.133,kernelw,1820.0,172.35,13684.2,79.396,0.5943,1.78,0
3Q25,0.151,current,1820.0,171.29,12053.0,70.366,0.5267,1.58,0
3Q25,0.151,forward,1820.0,167.51,12053.0,71.954,0.5386,1.62,0
3Q25,0.151,kernelw,1820.0,172.35,12053.0,69.932,0.5234,1.57,0
3Q25,0.155,current,1820.0,171.29,11741.9,68.55,0.5131,1.54,0
3Q25,0.155,forward,1820.0,167.51,11741.9,70.097,0.5247,1.57,0
3Q25,0.155,kernelw,1820.0,172.35,11741.9,68.127,0.5099,1.53,0
4Q25,0.124,current,1743.0,167.51,14056.5,83.914,0.6884,2.07,0
4Q25,0.124,forward,1743.0,186.82,14056.5,75.241,0.6172,1.85,0
4Q25,0.124,kernelw,1743.0,168.77,14056.5,83.288,0.6832,2.05,0
4Q25,0.133,current,1743.0,167.51,13105.3,78.236,0.6418,1.93,1
4Q25,0.133,forward,1743.0,186.82,13105.3,70.149,0.5755,1.73,0
4Q25,0.133,kernelw,1743.0,168.77,13105.3,77.652,0.637,1.91,0
4Q25,0.151,current,1743.0,167.51,11543.0,68.91,0.5653,1.7,0
4Q25,0.151,forward,1743.0,186.82,11543.0,61.787,0.5069,1.52,0
4Q25,0.151,kernelw,1743.0,168.77,11543.0,68.395,0.5611,1.68,0
4Q25,0.155,current,1743.0,167.51,11245.2,67.131,0.5507,1.65,0
4Q25,0.155,forward,1743.0,186.82,11245.2,60.192,0.4938,1.48,0
4Q25,0.155,kernelw,1743.0,168.77,11245.2,66.63,0.5466,1.64,0
1Q26,0.124,current,2733.0,186.82,22040.3,117.976,0.7553,2.27,0
1Q26,0.124,forward,2733.0,183.73,22040.3,119.96,0.768,2.3,0
1Q26,0.124,kernelw,2733.0,180.38,22040.3,122.186,0.7822,2.35,0
1Q26,0.133,current,2733.0,186.82,20548.9,109.993,0.7042,2.11,1
1Q26,0.133,forward,2733.0,183.73,20548.9,111.843,0.716,2.15,0
1Q26,0.133,kernelw,2733.0,180.38,20548.9,113.918,0.7293,2.19,0
1Q26,0.151,current,2733.0,186.82,18099.3,96.881,0.6202,1.86,0
1Q26,0.151,forward,2733.0,183.73,18099.3,98.511,0.6307,1.89,0
1Q26,0.151,kernelw,2733.0,180.38,18099.3,100.338,0.6424,1.93,0
1Q26,0.155,current,2733.0,186.82,17632.3,94.381,0.6042,1.81,0
1Q26,0.155,forward,2733.0,183.73,17632.3,95.968,0.6144,1.84,0
1Q26,0.155,kernelw,2733.0,180.38,17632.3,97.749,0.6258,1.88,0
2Q26,0.124,current,2831.0,183.73,22830.6,124.262,0.8379,2.51,0
2Q26,0.124,forward,2831.0,176.88,22830.6,129.074,0.8704,2.61,0
2Q26,0.124,kernelw,2831.0,184.76,22830.6,123.569,0.8332,2.5,0
2Q26,0.133,current,2831.0,183.73,21285.7,115.853,0.7812,2.34,1
2Q26,0.133,forward,2831.0,176.88,21285.7,120.34,0.8115,2.43,0
2Q26,0.133,kernelw,2831.0,184.76,21285.7,115.207,0.7769,2.33,0
2Q26,0.151,current,2831.0,183.73,18748.3,102.043,0.6881,2.06,0
2Q26,0.151,forward,2831.0,176.88,18748.3,105.995,0.7147,2.14,0
2Q26,0.151,kernelw,2831.0,184.76,18748.3,101.474,0.6842,2.05,0
2Q26,0.155,current,2831.0,183.73,18264.5,99.41,0.6703,2.01,0
2Q26,0.155,forward,2831.0,176.88,18264.5,103.259,0.6963,2.09,0
2Q26,0.155,kernelw,2831.0,184.76,18264.5,98.855,0.6666,2.0,0
