expiry,strike,F_from_strike,F_bid_ask_low,F_bid_ask_high,F_theory_spot_carry,theory_inside_bid_ask,dev_from_median_pct
2026-10-09,180.0,170.17,168.063,172.276,170.713,True,-0.222
2026-10-09,182.5,170.548,168.758,172.339,170.713,True,0.0
2026-10-09,185.0,170.776,169.081,172.472,170.713,True,0.134
2026-10-16,150.0,170.599,169.515,171.683,170.844,True,-0.087
2026-10-16,155.0,170.745,169.746,171.744,170.844,True,-0.001
2026-10-16,160.0,170.791,169.085,172.498,170.844,True,0.026
2026-10-16,165.0,170.747,170.069,171.425,170.844,True,0.0
2026-10-16,170.0,170.903,170.452,171.355,170.844,True,0.092
2026-10-16,175.0,170.558,169.378,171.738,170.844,True,-0.111
2026-10-16,180.0,171.216,170.162,172.27,170.844,True,0.275
2026-10-16,185.0,170.399,169.511,171.288,170.844,True,-0.204
2026-10-16,190.0,170.812,170.295,171.329,170.844,True,0.038
2026-10-23,185.0,171.021,167.841,174.2,170.975,True,0.0
2026-11-20,150.0,171.615,169.449,173.782,171.501,True,0.251
2026-11-20,155.0,170.544,168.352,172.736,171.501,True,-0.375
2026-11-20,160.0,171.186,169.221,173.151,171.501,True,0.0
2026-11-20,165.0,171.147,168.628,173.666,171.501,True,-0.023
2026-11-20,170.0,171.915,169.345,174.484,171.501,True,0.426
2026-11-20,175.0,171.095,169.861,172.33,171.501,True,-0.053
2026-11-20,180.0,171.56,169.016,174.105,171.501,True,0.219
2026-11-20,185.0,171.421,169.028,173.814,171.501,True,0.138
2026-11-20,190.0,171.055,168.637,173.474,171.501,True,-0.076
2026-12-18,150.0,171.227,169.407,173.046,172.028,True,-0.308
2026-12-18,155.0,171.729,169.202,174.256,172.028,True,-0.015
2026-12-18,160.0,171.776,169.855,173.696,172.028,True,0.012
2026-12-18,165.0,171.823,170.357,173.289,172.028,True,0.04
2026-12-18,170.0,171.668,170.354,172.982,172.028,True,-0.051
2026-12-18,175.0,171.816,169.238,174.394,172.028,True,0.035
2026-12-18,180.0,171.888,170.802,172.975,172.028,True,0.078
2026-12-18,185.0,170.672,168.574,172.769,172.028,True,-0.631
2026-12-18,190.0,171.755,170.087,173.423,172.028,True,0.0
2027-01-15,150.0,172.407,170.937,173.878,172.557,True,0.0
2027-01-15,155.0,172.541,171.273,173.808,172.557,True,0.077
2027-01-15,160.0,173.003,171.052,174.955,172.557,True,0.346
2027-01-15,165.0,172.325,171.185,173.466,172.557,True,-0.047
2027-01-15,170.0,172.636,170.507,174.765,172.557,True,0.133
2027-01-15,175.0,173.15,171.705,174.594,172.557,True,0.431
2027-01-15,180.0,172.269,170.875,173.663,172.557,True,-0.08
2027-01-15,185.0,172.402,170.096,174.709,172.557,True,-0.003
2027-01-15,190.0,171.978,170.482,173.473,172.557,True,-0.249
2027-03-19,150.0,173.354,171.644,175.064,173.752,True,-0.107
2027-03-19,155.0,173.785,171.896,175.674,173.752,True,0.141
2027-03-19,160.0,173.936,172.557,175.314,173.752,True,0.228
2027-03-19,165.0,174.418,170.87,177.966,173.752,True,0.506
2027-03-19,170.0,174.824,171.889,177.759,173.752,True,0.74
2027-03-19,175.0,173.341,171.172,175.51,173.752,True,-0.115
2027-03-19,180.0,172.649,169.791,175.508,173.752,True,-0.513
2027-03-19,185.0,173.54,171.422,175.659,173.752,True,0.0
2027-03-19,190.0,173.104,170.041,176.166,173.752,True,-0.251
2027-04-16,155.0,174.227,171.436,177.017,174.286,True,-0.367
2027-04-16,160.0,175.105,172.186,178.024,174.286,True,0.135
2027-04-16,170.0,174.864,172.202,177.527,174.286,True,-0.002
2027-04-16,175.0,174.872,171.16,178.584,174.286,True,0.002
2027-06-17,150.0,175.518,173.456,177.581,175.474,True,0.0
2027-06-17,155.0,175.26,172.786,177.735,175.474,True,-0.147
2027-06-17,160.0,176.136,172.682,179.59,175.474,True,0.352
2027-06-17,165.0,175.62,173.558,177.682,175.474,True,0.058
2027-06-17,170.0,176.238,173.712,178.764,175.474,True,0.41
2027-06-17,175.0,175.284,173.041,177.526,175.474,True,-0.134
2027-06-17,180.0,175.283,172.37,178.196,175.474,True,-0.134
2027-06-17,185.0,174.664,172.009,177.319,175.474,True,-0.487
2027-06-17,190.0,175.772,173.349,178.195,175.474,True,0.144
2027-09-17,160.0,177.757,173.956,181.559,177.252,True,0.029
2027-09-17,165.0,177.654,172.811,182.497,177.252,True,-0.029
2027-09-17,170.0,177.993,174.374,181.613,177.252,True,0.162
2027-09-17,180.0,177.865,175.053,180.677,177.252,True,0.09
2027-09-17,185.0,176.98,174.012,179.949,177.252,True,-0.408
2027-09-17,190.0,177.007,175.211,178.804,177.252,True,-0.393
2027-12-17,150.0,179.98,175.247,184.714,179.029,True,-0.04
2027-12-17,155.0,180.247,174.987,185.506,179.029,True,0.108
2027-12-17,160.0,180.96,177.041,184.878,179.029,True,0.504
2027-12-17,165.0,180.095,177.097,183.093,179.029,True,0.024
2027-12-17,170.0,180.362,177.206,183.517,179.029,True,0.172
2027-12-17,175.0,179.208,174.474,183.941,179.029,True,-0.469
2027-12-17,180.0,180.053,176.213,183.892,179.029,True,0.0
2027-12-17,185.0,179.661,176.216,183.107,179.029,True,-0.217
2027-12-17,190.0,179.77,175.325,184.214,179.029,True,-0.157
2028-01-21,150.0,181.759,178.934,184.583,179.717,True,0.608
2028-01-21,155.0,182.324,178.496,186.151,179.717,True,0.921
2028-01-21,160.0,180.644,178.216,183.073,179.717,True,-0.009
2028-01-21,165.0,181.368,178.094,184.641,179.717,True,0.392
2028-01-21,170.0,180.032,175.808,184.256,179.717,True,-0.348
2028-01-21,175.0,180.676,177.218,184.134,179.717,True,0.009
2028-01-21,180.0,180.66,176.093,185.227,179.717,True,0.0
2028-01-21,185.0,180.195,176.658,183.733,179.717,True,-0.257
2028-01-21,190.0,179.836,175.85,183.823,179.717,True,-0.456
